index,val_score,val_loss,batch_size,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,features,loss,stratify_on,encoder_lr,epoch,fold,model,warmup_steps,required_epochs,total_time,mean_epoch_time,readout,train_loss
21,0.07734358579180442,0.6550123691558838,16.0,1256.6068153381348,False,,,22,98b64_00000,cf6989986e9449a78a4e0dd451adbab9,2023-03-03_15-03-29,1677852209,14412.177695035934,63800,c4130-p100,131.114.50.210,14412.177695035934,0,22,0.005378484725952149,CPC+SACST,bce,stratification_index,2e-05,1.0,1.0,BERT-for-patent,0.0,3.0,41134.0,1175.257142,attention,
22,0.13787389608972342,0.6545228362083435,16.0,1256.197198867798,False,,,23,98b64_00000,cf6989986e9449a78a4e0dd451adbab9,2023-03-03_15-24-26,1677853466,15668.374893903732,63800,c4130-p100,131.114.50.210,15668.374893903732,0,23,0.005378484725952149,CPC+SACST,bce,stratification_index,2e-05,2.0,1.0,BERT-for-patent,0.0,3.0,41134.0,1175.257142,attention,
23,-0.007456299323793344,0.6549488306045532,16.0,1255.2357320785522,False,,,24,98b64_00000,cf6989986e9449a78a4e0dd451adbab9,2023-03-03_15-45-21,1677854721,16923.610625982285,63800,c4130-p100,131.114.50.210,16923.610625982285,0,24,0.005378484725952149,CPC+SACST,bce,stratification_index,2e-05,3.0,1.0,BERT-for-patent,0.0,3.0,41134.0,1175.257142,attention,
24,0.010422445503130524,0.6548687815666199,16.0,1255.1326596736908,False,,,25,98b64_00000,cf6989986e9449a78a4e0dd451adbab9,2023-03-03_16-06-16,1677855976,18178.74328565597,63800,c4130-p100,131.114.50.210,18178.74328565597,0,25,0.005378484725952149,CPC+SACST,bce,stratification_index,2e-05,4.0,1.0,BERT-for-patent,0.0,3.0,41134.0,1175.257142,attention,
25,0.014430651983374962,0.6549397110939026,16.0,1255.0980119705198,False,,,26,98b64_00000,cf6989986e9449a78a4e0dd451adbab9,2023-03-03_16-27-11,1677857231,19433.84129762649,63800,c4130-p100,131.114.50.210,19433.84129762649,0,26,0.005378484725952149,CPC+SACST,bce,stratification_index,2e-05,5.0,1.0,BERT-for-patent,0.0,3.0,41134.0,1175.257142,attention,
26,0.014776980934531019,0.6550593972206116,16.0,1254.8340303897858,False,,,27,98b64_00000,cf6989986e9449a78a4e0dd451adbab9,2023-03-03_16-48-06,1677858486,20688.67532801628,63800,c4130-p100,131.114.50.210,20688.67532801628,0,27,0.005378484725952149,CPC+SACST,bce,stratification_index,2e-05,6.0,1.0,BERT-for-patent,0.0,3.0,41134.0,1175.257142,attention,
27,-0.013073087123957144,0.6552570462226868,16.0,1255.2184007167814,False,,,28,98b64_00000,cf6989986e9449a78a4e0dd451adbab9,2023-03-03_17-09-01,1677859741,21943.893728733063,63800,c4130-p100,131.114.50.210,21943.893728733063,0,28,0.005378484725952149,CPC+SACST,bce,stratification_index,2e-05,7.0,1.0,BERT-for-patent,0.0,3.0,41134.0,1175.257142,attention,
28,0.7987796609707158,0.5566715598106384,16.0,1313.2441835403442,False,,,29,98b64_00000,cf6989986e9449a78a4e0dd451adbab9,2023-03-03_17-30-54,1677861054,23257.137912273407,63800,c4130-p100,131.114.50.210,23257.137912273407,0,29,0.005378484725952149,CPC+SACST,bce,stratification_index,2e-05,0.0,2.0,BERT-for-patent,0.0,3.0,41134.0,1175.257142,attention,
29,0.8085726185447522,0.5613678693771362,16.0,1254.8556911945345,False,,,30,98b64_00000,cf6989986e9449a78a4e0dd451adbab9,2023-03-03_17-51-49,1677862309,24511.993603467938,63800,c4130-p100,131.114.50.210,24511.993603467938,0,30,0.005378484725952149,CPC+SACST,bce,stratification_index,2e-05,1.0,2.0,BERT-for-patent,0.0,3.0,41134.0,1175.257142,attention,
30,0.8299629579618644,0.5421332716941833,16.0,1254.864312171936,False,,,31,98b64_00000,cf6989986e9449a78a4e0dd451adbab9,2023-03-03_18-12-44,1677863564,25766.857915639877,63800,c4130-p100,131.114.50.210,25766.857915639877,0,31,0.005378484725952149,CPC+SACST,bce,stratification_index,2e-05,2.0,2.0,BERT-for-patent,0.0,3.0,41134.0,1175.257142,attention,
31,0.8361583562674715,0.5519895553588867,16.0,1255.520763874054,False,,,32,98b64_00000,cf6989986e9449a78a4e0dd451adbab9,2023-03-03_18-33-40,1677864820,27022.37867951393,63800,c4130-p100,131.114.50.210,27022.37867951393,0,32,0.005378484725952149,CPC+SACST,bce,stratification_index,2e-05,3.0,2.0,BERT-for-patent,0.0,3.0,41134.0,1175.257142,attention,
