,val_score mean,val_score mean,val_score var,val_score var
,first,first,first,first
readout,attention,linear,attention,linear
features,,,,
CPCdescription_same_anchor_context_similar_targets,7.82e+01,7.61e+01,2.24e-05,1.21e-05
anchor_target_CPCdescription,7.67e+01,7.35e+01,1.30e-06,4.62e-05
same_anchor_context_similar_targets,7.66e+01,7.28e+01,4.79e-07,6.16e-05
same_anchor_context_targets,7.93e+01,7.76e+01,3.98e-06,5.07e-05
