features,mean attention,mean linear,var attention,var linear,epoch time attention,epoch time linear
CPC,76.69570842701971,75.47916911840281,1.2994533159574132e-06,0.0008057744967723086,102.838709,99.935714
CPC code,75.17142040502914,,7.672237868250604e-05,,61.285714,
CPC+SACST,78.24379753368595,76.12965141219354,2.235961656247426e-05,1.2059971750938127e-05,170.129032,155.485714
No context,75.7147290407178,,8.138579034741975e-05,,57.057142,
SACST,76.62682175649589,72.78462530022864,4.794858547425886e-07,6.163089427263132e-05,138.612903,128.314285
SACT,79.2710221934328,77.63245060963986,3.979448591945833e-06,5.0746266488329476e-05,710.419354,651.314285
mean,76.95391655939687,75.50647411011622,3.103769555917431e-05,0.0002325529073210519,206.723809,258.7624995
